timestamp,portfolio_value,period_return_pct,cumulative_return_pct,active_positions,avg_funding_rate,btc_regime,eth_regime,sol_regime,doge_regime,xrp_regime,avax_regime,link_regime,aave_yield_earned
2026-03-15T13:15:42.895756+00:00,1000.0457,0.004566,0.0046,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045662
2026-03-15T13:30:57.253329+00:00,1000.0913,0.004566,0.0091,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045664
2026-03-15T15:48:02.031330+00:00,1000.137,0.004566,0.0137,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045666
2026-03-15T23:44:54.599467+00:00,1000.1827,0.004566,0.0183,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045668
2026-03-16T08:16:10.454928+00:00,1000.2283,0.004566,0.0228,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.04567
2026-03-16T16:33:48.660522+00:00,1000.274,0.004566,0.0274,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045673
2026-03-16T23:44:36.145812+00:00,1000.3197,0.004566,0.032,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045675
2026-03-16T23:54:01.503807+00:00,1000.3654,0.004566,0.0365,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045677
2026-03-17T01:02:46.429429+00:00,1000.411,0.004566,0.0411,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045679
2026-03-17T08:03:52.553100+00:00,1000.4567,0.004566,0.0457,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045681
2026-03-17T16:36:19.241816+00:00,1000.5024,0.004566,0.0502,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045683
2026-03-17T23:47:53.863963+00:00,1000.5481,0.004566,0.0548,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045685
2026-03-18T08:01:26.204941+00:00,1000.5938,0.004566,0.0594,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045687
2026-03-18T16:35:03.891221+00:00,1000.6395,0.004566,0.0639,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045689
2026-03-18T23:44:04.572452+00:00,1000.6852,0.004566,0.0685,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045691
2026-03-19T07:57:02.415956+00:00,1000.7308,0.004566,0.0731,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045693
2026-03-19T16:12:03.130327+00:00,1000.7765,0.004566,0.0777,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045695
2026-03-19T23:44:52.559520+00:00,1000.8222,0.004566,0.0822,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045698
2026-03-20T07:56:45.453024+00:00,1000.8679,0.004566,0.0868,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.0457
2026-03-20T16:01:37.087395+00:00,1000.9136,0.004566,0.0914,0,5.79e-06,p_crisis,p_crisis,p_bear,p_crisis,p_crisis,p_crisis,p_crisis,0.045702
