feature,ic_mean,ic_std,icir,ic_positive_pct,ic_obs,decay_halflife_periods,decay_halflife_hours,quality
fundingRate,0.39787,0.23107,1.7219,93.8,3219,10.0,80.0,sehr gut
rate_avax,0.39787,0.23107,1.7219,93.8,3219,10.0,80.0,sehr gut
tri_exchange_mean,0.39587,0.23338,1.6963,93.2,3219,10.0,80.0,sehr gut
rate_zscore_7d,0.35987,0.23134,1.5556,92.8,3169,4.0,32.0,sehr gut
rate_zscore,0.3663,0.24286,1.5083,91.5,3146,10.0,80.0,sehr gut
zscore_avax,0.3663,0.24286,1.5083,91.5,3146,10.0,80.0,sehr gut
sync_score,0.38007,0.26018,1.4608,93.5,831,10.0,80.0,sehr gut
portfolio_rate_weighted,0.32935,0.24095,1.3669,91.1,3219,10.0,80.0,sehr gut
rel_score_avax,0.32134,0.24753,1.2982,89.1,3114,6.0,48.0,sehr gut
rate_momentum_3d,0.27701,0.22085,1.2543,88.4,3219,5.0,40.0,sehr gut
rate_momentum_7d,0.27992,0.24908,1.1238,85.9,3213,10.0,80.0,sehr gut
mom_avax,0.21132,0.19989,1.0572,83.6,3219,4.0,32.0,sehr gut
rate_momentum_1d,0.21132,0.19989,1.0572,83.6,3219,4.0,32.0,sehr gut
rate_link,0.25739,0.25265,1.0187,84.2,3136,10.0,80.0,sehr gut
rate_doge,0.25619,0.25235,1.0152,84.3,3154,10.0,80.0,sehr gut
rate_sol,0.26313,0.26329,0.9994,83.0,3191,10.0,80.0,gut
zscore_sol,0.23577,0.25646,0.9193,82.7,3146,10.0,80.0,gut
zscore_doge,0.21034,0.25672,0.8193,79.2,3114,10.0,80.0,gut
zscore_link,0.22394,0.27352,0.8187,79.9,3146,6.0,48.0,gut
rel_score_doge,0.17971,0.22488,0.7991,78.4,3114,4.0,32.0,gut
rate_eth,0.209,0.26472,0.7895,78.4,3124,10.0,80.0,gut
rel_score_sol,0.18154,0.24505,0.7408,76.8,3114,10.0,80.0,gut
zscore_eth,0.18138,0.26485,0.6848,75.2,3146,10.0,80.0,gut
rel_score_link,0.17217,0.25225,0.6826,75.5,3114,4.0,32.0,gut
mom_link,0.12571,0.19664,0.6393,75.9,3148,5.0,40.0,gut
mom_sol,0.12184,0.19214,0.6341,76.4,3197,4.0,32.0,gut
rate_xrp,0.1631,0.26252,0.6213,71.7,3168,10.0,80.0,gut
all_above_zscore_1,0.15668,0.25435,0.616,71.8,1111,10.0,80.0,gut
mom_eth,0.11198,0.18355,0.6101,71.4,3135,3.0,24.0,gut
pct_positive_7d,0.18045,0.32276,0.5591,72.6,741,10.0,80.0,gut
hierarchy_normal,0.10719,0.20474,0.5235,69.8,2624,5.0,40.0,gut
zscore_xrp,0.13909,0.26612,0.5227,69.3,3146,10.0,80.0,gut
rel_score_eth,0.12191,0.23859,0.511,69.7,3114,10.0,80.0,gut
mom_doge,0.09959,0.20031,0.4972,68.9,3157,4.0,32.0,schwach
rate_acceleration,0.07707,0.19324,0.3988,62.5,3219,6.0,48.0,schwach
mom_xrp,0.07673,0.19877,0.386,63.9,3174,4.0,32.0,schwach
rel_score_xrp,0.08879,0.23308,0.381,62.1,3114,10.0,80.0,schwach
rotation_direction,0.07085,0.19079,0.3714,67.3,3200,3.0,24.0,schwach
rate_btc,0.09832,0.27906,0.3523,60.7,3144,10.0,80.0,schwach
zscore_btc,0.07624,0.28547,0.2671,58.7,3146,10.0,80.0,unbrauchbar
mom_btc,0.04195,0.20461,0.205,56.6,3158,4.0,32.0,unbrauchbar
btc_falling_sol_rising,0.03338,0.20421,0.1635,57.7,3028,10.0,80.0,unbrauchbar
rel_score_btc,0.03327,0.25787,0.129,53.8,3114,10.0,80.0,unbrauchbar
pct_positive_30d,0.04922,0.42127,0.1168,58.6,994,10.0,80.0,unbrauchbar
rate_7d_mean,0.01709,0.30372,0.0563,47.6,3214,10.0,80.0,unbrauchbar
weekday_sin,0.01445,0.28531,0.0506,50.6,3220,6.0,48.0,unbrauchbar
usdt_inflow_7d_pct,0.01254,0.33066,0.0379,51.1,3220,10.0,80.0,unbrauchbar
usdc_inflow_7d_pct,0.01077,0.32141,0.0335,47.9,3220,10.0,80.0,unbrauchbar
total_inflow_7d_pct,0.01073,0.33542,0.032,48.9,3220,10.0,80.0,unbrauchbar
hour,0.00189,0.14343,0.0131,49.6,3220,3.0,24.0,unbrauchbar
rate_30d_mean,0.00289,0.36294,0.008,49.7,3146,10.0,80.0,unbrauchbar
usdt_supply,-0.00368,0.35759,-0.0103,49.3,3220,10.0,80.0,unbrauchbar
hour_cos,-0.00189,0.14343,-0.0131,48.6,3220,3.0,24.0,unbrauchbar
total_stablecoin_supply,-0.0188,0.34487,-0.0545,45.3,3220,10.0,80.0,unbrauchbar
rate_30d_std,-0.02011,0.3512,-0.0572,46.5,3146,10.0,80.0,unbrauchbar
usdc_supply,-0.02524,0.34482,-0.0732,45.6,3220,10.0,80.0,unbrauchbar
weekday_cos,-0.02197,0.28786,-0.0763,47.4,3220,,,unbrauchbar
rate_7d_std,-0.02401,0.29421,-0.0816,46.3,3214,10.0,80.0,unbrauchbar
rate_volatility_7d,-0.02401,0.29421,-0.0816,46.3,3214,10.0,80.0,unbrauchbar
weekday,-0.02641,0.26406,-0.1,45.6,3220,9.0,72.0,unbrauchbar
hour_sin,-0.03236,0.14758,-0.2192,39.8,3220,,,unbrauchbar
hierarchy_inversion,-0.11177,0.24289,-0.4602,31.9,3023,10.0,80.0,unbrauchbar
btc_eth_spread,-0.10346,0.22395,-0.462,32.6,3190,10.0,80.0,unbrauchbar
btc_eth_spread_zscore,-0.10427,0.22405,-0.4654,33.7,3146,,,unbrauchbar
eth_sol_spread_zscore,-0.11726,0.23634,-0.4962,29.8,3146,8.0,64.0,unbrauchbar
eth_sol_spread,-0.1187,0.23836,-0.498,31.7,3196,10.0,80.0,unbrauchbar
btc_sol_spread_zscore,-0.1785,0.23822,-0.7493,23.4,3146,8.0,64.0,unbrauchbar
btc_sol_spread,-0.17987,0.23916,-0.7521,22.7,3197,10.0,80.0,unbrauchbar
tri_exchange_std,-0.20412,0.16103,-1.2676,11.3,283,10.0,80.0,unbrauchbar
max_exchange_spread,-0.20711,0.16196,-1.2788,10.6,283,10.0,80.0,unbrauchbar
pred_direction_matches_actual,-0.37245,0.20977,-1.7755,3.7,858,10.0,80.0,unbrauchbar
binance_premium,-0.13448,0.06651,-2.022,0.0,30,5.0,40.0,unbrauchbar
