fundingTime,fundingRate,rate_7d_mean,rate_7d_std,rate_30d_mean,rate_30d_std,rate_zscore,rate_zscore_7d,rate_momentum_1d,rate_momentum_3d,rate_momentum_7d,rate_acceleration,pct_positive_7d,pct_positive_30d,rate_volatility_7d,hour,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,binance_premium,tri_exchange_mean,tri_exchange_std,tri_exchange_outlier,max_exchange_spread,usdt_supply,usdt_inflow_7d_pct,usdc_supply,usdc_inflow_7d_pct,total_stablecoin_supply,total_inflow_7d_pct,pred_direction_matches_actual,rate_btc,zscore_btc,mom_btc,rate_eth,zscore_eth,mom_eth,rate_sol,zscore_sol,mom_sol,rate_doge,zscore_doge,mom_doge,rate_xrp,zscore_xrp,mom_xrp,rate_avax,zscore_avax,mom_avax,rate_link,zscore_link,mom_link,btc_eth_spread,btc_sol_spread,eth_sol_spread,btc_eth_spread_zscore,btc_sol_spread_zscore,eth_sol_spread_zscore,hierarchy_normal,hierarchy_inversion,all_above_zscore_1,sync_score,btc_falling_sol_rising,rotation_direction,portfolio_rate_weighted,rel_score_btc,rel_score_eth,rel_score_sol,rel_score_doge,rel_score_xrp,rel_score_avax,rel_score_link
2025-02-14 16:00:00.000,0.2004449388209121,-0.3543937708565072,-0.0371523915461624,-0.2318389156631106,0.28345756099309305,0.2631813125695217,0.31568409343715237,0.31746384872080086,0.16529477196885425,0.19688542825361513,0.31790878754171303,,,-0.0371523915461624,-0.24998331423738646,-0.0950740222101419,0.061316661982755157,0.24998331423738646,0.02252938914932272,0.022979976932309177,,0.2004449388209121,,,,0.3585420990046408,0.29375879139632566,0.1695535533610731,-0.042667626735131706,0.31431073725827385,0.044007971030476156,,0.2004449388209121,0.2631813125695217,0.31746384872080086,0.018909899888765295,0.017130144605116793,-0.2324805339265851,0.15061179087875418,0.1586206896551724,0.3512791991101224,0.12085467478230034,0.10478309232480533,0.10122358175750834,0.1116703113349102,0.10567296996662959,0.06651835372636263,0.022914349276974413,0.011790878754171301,-0.06295884315906564,-0.22624405076452808,-0.20578420467185762,-0.22382912587052714,0.18442714126807563,-0.05406006674082313,-0.06829810901001113,0.16796440489432704,-0.061179087875417135,-0.0843159065628476,0.20381464344701458,-0.20381464344701458,,,-0.03186881268022455,0.23158371832252467,0.09543937708565071,0.28186874304783094,-0.026918798665183537,0.1875417130144605,0.05094549499443826,0.04872080088987764,0.04160177975528365,-0.2667408231368187
2025-02-15 00:00:00.000,0.14883203559510566,-0.29521690767519465,-0.17419354838709677,-0.08588274610936728,0.15307598270270645,0.19154616240266964,0.21379310344827587,0.2609566184649611,0.06874304783092325,0.11056729699666296,0.23203559510567295,,,-0.17419354838709677,-0.24054998162465485,-0.18538200721641543,0.05659999567638939,0.24054998162465485,0.10013334696361124,0.1393747937466481,,0.14883203559510566,,,,0.22324245304271742,0.28223745564860064,0.08379971961062967,-0.027486308032286525,0.19106336071223562,0.047598240738837644,,0.14883203559510566,0.19154616240266964,0.2609566184649611,-0.10878754171301447,-0.11635150166852058,-0.21690767519466073,0.12169076751946609,0.13948832035595105,0.34015572858731924,0.03850434389933326,0.02736373748609566,0.010456062291434927,0.01652720607756671,0.010901001112347052,0.03626251390433815,-0.12480533926585094,-0.1408231368186874,-0.0389321468298109,-0.359355061875741,-0.33793103448275863,-0.2616531332243936,0.2978865406006674,-0.058954393770856504,-0.07942157953281423,0.2832035595105673,-0.06696329254727475,-0.10611790878754171,-0.03087782910966996,0.03087782910966996,,,0.086650693031805,0.23930317559994216,-0.045606229143492764,0.2569521690767519,-0.15595105672969967,0.14616240266963293,-0.03492769744160178,-0.013125695216907676,-0.10166852057842046,-0.3548387096774193
2025-02-15 08:00:00.000,0.16929922135706338,-0.32146829810900995,-0.14660734149054505,-0.0910001118101845,0.15507843015085232,0.21201334816462733,0.2395995550611791,0.27608453837597335,0.08698553948832036,0.10478309232480533,0.23381535038932147,,,-0.14660734149054505,-0.2122499837864602,-0.18992275052879054,0.04244999675729203,0.2122499837864602,0.10611342289331002,0.13585221657041602,,0.16929922135706338,,,,0.23433686096938824,0.3049283271908627,0.090026458503969,-0.010946145078646354,0.20127503501755847,0.05830497684748364,,0.16929922135706338,0.21201334816462733,0.27608453837597335,-0.10122358175750834,-0.10166852057842046,-0.2253615127919911,0.10077864293659622,0.12080088987764183,0.3419354838709677,0.051413314686392965,0.022914349276974413,0.023804226918798663,0.02769423721105773,0.023804226918798663,0.05850945494994438,-0.129046613324956,-0.14571746384872078,-0.045606229143492764,-0.36199502284683727,-0.332146829810901,-0.2790076777749911,0.2987764182424916,-0.034482758620689655,-0.053170189098998885,0.2836484983314794,-0.04382647385984427,-0.07853170189098999,-0.057767128687870005,0.057767128687870005,,,0.057767128687870005,0.23158371832252467,-0.038042269187986644,0.2738598442714127,-0.13681868743047831,0.13904338153503895,-0.025583982202447165,-0.0024471635150166847,-0.10700778642936595,-0.3632925472747497
2025-02-15 16:00:00.000,0.18798665183537264,-0.2996662958843159,-0.1292547274749722,-0.03315162997485939,0.1039047731426801,0.22091212458286985,0.24048943270300333,0.2756395995550612,0.09944382647385984,0.05850945494994438,0.22491657397107895,,,-0.1292547274749722,-0.21696665009282598,-0.230025063214585,0.06603332828912095,0.21696665009282598,0.1687451247284272,0.13675339213638893,,0.18798665183537264,,,,0.19747739284741586,0.2886208049308385,0.03708285883786316,-0.006254940044940773,0.1603945340095527,0.04646526890527432,,0.18798665183537264,0.22091212458286985,0.2756395995550612,-0.09944382647385984,-0.10255839822024472,-0.18175750834260287,0.09232480533926585,0.11012235817575085,0.3619577308120133,0.054529273152234964,0.02513904338153504,0.034037819799777526,-0.004020131208056768,-0.023359288097886538,0.029143492769744164,-0.12570920091137958,-0.14438264738598441,-0.014015572858731925,-0.3280873747019662,-0.30856507230255836,-0.2612081449025834,0.2961067853170189,-0.028698553948832032,-0.024249165739710785,0.27875417130144603,-0.03937708565072302,-0.053170189098998885,-0.07060426839628557,0.07060426839628557,,,0.048139273906558346,0.27343107578925135,-0.033592880978865404,0.2805339265850945,-0.13904338153503895,0.12124582869855395,-0.023359288097886538,-0.05228031145717464,-0.10255839822024472,-0.32858731924360396
2025-02-16 00:00:00.000,0.17908787541713014,-0.27697441601779754,-0.10166852057842046,0.030036711722188036,0.04249638473287345,0.2004449388209121,0.2266963292547275,0.2707452725250278,0.13414905450500555,-0.006006674082313682,0.22625139043381537,,,-0.10166852057842046,-0.20281665117372863,-0.26927751413187345,0.0518833293700236,0.20281665117372863,0.23274237402352882,0.14208110042134028,,0.17908787541713014,,,,0.15754347286798376,0.2795558646210605,-0.012737557380815707,0.011396761867045633,0.12268278950996182,0.047598240738837644,,0.17908787541713014,0.2004449388209121,0.2707452725250278,-0.12703003337041155,-0.13726362625139044,-0.12703003337041155,0.08164627363737487,0.10344827586206896,0.3521690767519466,0.0589806423891521,0.04338153503893215,0.05228031145717464,-0.025907512229699167,-0.04382647385984427,0.047385984427141266,-0.09033262932746922,-0.11679644048943269,0.04338153503893215,-0.34081779019414593,-0.32547274749721916,-0.2380687521684533,0.307230255839822,-0.011790878754171301,-0.019799777530589546,0.303670745272525,-0.020689655172413793,-0.04916573971078977,-0.08344140810470113,0.08344140810470113,,,0.03851141912524668,0.265728791964202,-0.055394883203559515,0.26807563959955505,-0.15595105672969967,0.11368186874304784,0.0006674082313681868,-0.07586206896551724,-0.056729699666295874,-0.33170189098998887
2025-02-16 08:00:00.000,0.16618464961067853,-0.23470522803114574,-0.038042269187986644,0.1946823907919595,-0.12081432937146745,0.16974416017797553,0.19377085650723025,0.26896551724137935,0.11724137931034483,-0.071412680756396,0.21245828698553948,,,-0.038042269187986644,-0.2122499837864602,-0.3428973028526918,0.05659999567638939,0.2122499837864602,0.3172137992224639,0.07975403758860243,,0.16618464961067853,,,,0.016977694407696385,0.3297246966547351,-0.1630752226002416,0.08756916062917083,-0.0330618259518298,0.123758456603471,,0.16618464961067853,0.16974416017797553,0.26896551724137935,-0.12791991101223582,-0.14571746384872078,-0.05094549499443826,0.08298109010011123,0.08654060066740822,0.40155728587319245,0.1003783762924815,0.09276974416017797,0.056729699666295874,0.05404843068609654,0.03136818687430478,0.10344827586206896,0.0013349649654305793,-0.033592880978865404,0.1532814238042269,-0.23048752259525465,-0.23292547274749723,-0.14417621626650257,0.2867630700778643,-0.011345939933259176,-0.016240266963292546,0.29699666295884314,-0.01846496106785317,-0.04293659621802002,-0.09627854781311669,0.09627854781311669,,,0.03851141912524668,0.2580265081391527,-0.0033370411568409346,0.20578420467185762,-0.17152391546162402,0.09232480533926585,0.05361512791991101,-0.006006674082313682,-0.0033370411568409346,-0.24093437152391545
2025-02-16 16:00:00.000,0.21512791991101224,-0.31078976640711903,-0.015350389321468297,0.1615307608171001,-0.08721771107479785,0.21957730812013349,0.24271412680756396,0.3041156840934371,0.16484983314794216,-0.026028921023359287,0.22180200222469412,,,-0.015350389321468297,-0.2122499837864602,-0.33771554334834764,0.014149998919097347,0.2122499837864602,0.32554967320771333,0.09124402605475704,,0.21512791991101224,,,,0.06277279116529848,0.3509468146643555,-0.13872563456815074,0.09628139854890977,0.00469120503370558,0.13247069452320995,,0.21512791991101224,0.21957730812013349,0.3041156840934371,-0.09944382647385984,-0.10433815350389322,-0.033592880978865404,0.07764182424916574,0.08609566184649611,0.41090100111234706,0.12129981170599205,0.10344827586206896,0.08476084538375972,0.08710284284122996,0.07274749721913237,0.08743047830923248,0.01802202703331282,-0.01668520578420467,0.1635150166852058,-0.21351363527234832,-0.22180200222469412,-0.11436199870521964,0.2827586206896551,0.010901001112347052,0.0006674082313681868,0.29076751946607343,0.0028921023359288096,-0.018909899888765295,-0.09627854781311669,0.09627854781311669,,,-0.0051668490644422235,0.24702263287735968,0.024249165739710785,0.24449388209121245,-0.15016685205784203,0.09276974416017797,0.06562847608453837,0.0353726362625139,0.021579532814238044,-0.2502780867630701
2025-02-17 00:00:00.000,0.20622914349276972,-0.39488320355951056,-0.04827586206896552,0.04716876211188047,0.010679719723444635,0.2146829810901001,0.24360400444938823,0.28720800889877635,0.1635150166852058,0.0033370411568409346,0.21379310344827587,,,-0.04827586206896552,-0.24054998162465485,-0.2706306674692196,0.04244999675729203,0.24054998162465485,0.28416220084268057,0.15561263379480125,,0.20622914349276972,,,,0.17497381454699473,0.31977973003416277,-0.024804717004746377,0.0610061958765384,0.12000119848242166,0.09720767474833039,,0.20622914349276972,0.2146829810901001,0.28720800889877635,-0.04382647385984427,-0.026028921023359287,0.021134593993325918,-0.014905450500556172,-0.00867630700778643,0.33659621802002226,0.04874249314424268,0.03181312569521691,0.059844271412680755,0.0028985579295323118,0.011790878754171301,-0.01579532814238042,0.003337412413576449,-0.02469410456062291,0.17597330367074526,-0.1969864291947816,-0.19199110122358176,-0.11636444615336551,0.23692992213570632,0.0825361512791991,0.11012235817575085,0.2449388209121246,0.08476084538375972,0.09010011123470522,-0.08344140810470113,0.08344140810470113,,,0.0051668490644422235,0.18263436652138607,-0.014460511679644046,0.24004449388209118,-0.07052280311457175,0.013125695216907676,0.0033370411568409346,-0.021134593993325918,0.0064516129032258064,-0.21913236929922134
2025-02-17 08:00:00.000,0.18309232480533927,-0.43359288097886545,-0.08832035595105672,-0.06630325994971878,0.10768717387806674,0.19154616240266964,0.24360400444938823,0.2756395995550612,0.16173526140155728,-0.0028921023359288096,0.196440489432703,,,-0.08832035595105672,-0.24054998162465485,-0.3136090969585723,0.04244999675729203,0.24054998162465485,0.29423382229015477,0.25998915078318424,,0.18309232480533927,,,,0.23969823815076607,0.23969823815076607,0.08332473702724674,0.010052582215083386,0.22808192092444748,0.02971096521346868,,0.18309232480533927,0.19154616240266964,0.2756395995550612,-0.040711902113459396,-0.018020022246941044,0.0371523915461624,-0.09054505005561733,-0.0825361512791991,0.27430478309232476,0.10215892398724835,0.08298109010011123,0.13414905450500555,0.047491756845414033,0.06384872080088987,0.05272525027808676,-0.03404160661847977,-0.058064516129032254,0.1839822024471635,-0.16750546700236532,-0.1385984427141268,-0.03715652487115113,0.21601779755283645,0.12747497219132367,0.18175750834260287,0.22402669632925473,0.12880978865406006,0.16262513904338155,-0.08344140810470113,0.08344140810470113,,,0.0051668490644422235,0.11791665765914457,-0.03626251390433815,0.2289210233592881,-0.05406006674082313,-0.05939933259176862,0.04961067853170189,0.025583982202447165,-0.04160177975528365,-0.18620689655172412
2025-02-17 16:00:00.000,0.1345939933259177,-0.49855394883203563,-0.034482758620689655,-0.07275559061596658,0.12615418923318977,0.14438264738598441,0.19421579532814237,0.21245828698553948,0.14527252502780869,0.03670745272525028,0.13815350389321468,,,-0.034482758620689655,-0.23583331531828908,-0.26787443698544716,-0.009433332612731564,0.23583331531828908,0.274633253730244,0.25931326910870456,,0.1345939933259177,,,,0.23835789385542164,0.2508677739453032,0.08198439273190229,0.009159019351520418,0.22406088803841412,0.030157746645250158,,0.1345939933259177,0.14438264738598441,0.21245828698553948,-0.021579532814238044,0.0006674082313681868,0.047830923248053395,-0.0731924360400445,-0.07274749721913237,0.29521690767519465,0.07099933932882838,0.05005561735261402,0.06740823136818688,0.04793768883457285,0.058064516129032254,0.029588431590656286,-0.020246968642363788,-0.029588431590656286,0.13281423804226916,-0.18336265121192255,-0.15417130144605118,-0.061185894248901564,0.19021134593993325,0.0825361512791991,0.1474972191323693,0.19377085650723025,0.08876529477196884,0.1296996662958843,-0.07060426839628557,0.07060426839628557,,,0.036167943451095565,0.15722221021219274,-0.0389321468298109,0.182202447163515,-0.026918798665183537,-0.02513904338153504,0.00867630700778643,0.03982202447163515,-0.0028921023359288096,-0.16840934371523916
