feature,ic_mean,ic_std,icir,ic_positive_pct,ic_obs,decay_halflife_periods,decay_halflife_hours,quality
sync_score,0.40573,0.28211,1.4382,94.1,784,10.0,80.0,sehr gut
fundingRate,0.35172,0.24561,1.432,92.2,3120,10.0,80.0,sehr gut
rate_eth,0.35172,0.24561,1.432,92.2,3120,10.0,80.0,sehr gut
tri_exchange_mean,0.34691,0.24617,1.4092,92.2,3120,10.0,80.0,sehr gut
zscore_eth,0.31173,0.23305,1.3376,90.0,3051,10.0,80.0,sehr gut
rate_zscore,0.31173,0.23305,1.3376,90.0,3051,10.0,80.0,sehr gut
rate_zscore_7d,0.30259,0.22676,1.3344,89.6,3072,5.0,40.0,sehr gut
rate_momentum_7d,0.28092,0.23502,1.1953,87.8,3116,10.0,80.0,sehr gut
rel_score_eth,0.26527,0.22448,1.1817,87.7,3019,10.0,80.0,sehr gut
rate_momentum_3d,0.25105,0.21918,1.1454,86.5,3122,6.0,48.0,sehr gut
portfolio_rate_weighted,0.28642,0.25527,1.122,86.8,3125,10.0,80.0,sehr gut
all_above_zscore_1,0.21783,0.23982,0.9083,81.5,1100,10.0,80.0,gut
rate_link,0.20235,0.24163,0.8374,79.9,3091,10.0,80.0,gut
rate_doge,0.19514,0.24938,0.7825,78.2,3069,10.0,80.0,gut
rate_avax,0.19933,0.26727,0.7458,75.4,3125,10.0,80.0,gut
rate_momentum_1d,0.14213,0.2015,0.7054,77.0,3121,5.0,40.0,gut
mom_eth,0.14213,0.2015,0.7054,77.0,3121,5.0,40.0,gut
rate_sol,0.18637,0.27717,0.6724,74.0,3120,10.0,80.0,gut
rate_xrp,0.18078,0.26952,0.6707,73.0,3102,10.0,80.0,gut
rate_btc,0.18922,0.28256,0.6697,73.8,3078,10.0,80.0,gut
zscore_doge,0.16224,0.25039,0.6479,75.0,3019,10.0,80.0,gut
zscore_link,0.1584,0.26011,0.609,74.5,3051,10.0,80.0,gut
zscore_avax,0.15744,0.25905,0.6077,70.2,3051,10.0,80.0,gut
zscore_sol,0.16255,0.26861,0.6052,70.5,3051,10.0,80.0,gut
zscore_btc,0.16336,0.2765,0.5908,72.0,3051,10.0,80.0,gut
pct_positive_7d,0.21384,0.37023,0.5776,68.4,620,10.0,80.0,gut
zscore_xrp,0.14594,0.26926,0.542,69.3,3051,10.0,80.0,gut
rel_score_link,0.11801,0.24006,0.4916,69.6,3019,10.0,80.0,schwach
rel_score_doge,0.10559,0.2343,0.4507,67.2,3019,10.0,80.0,schwach
rel_score_sol,0.10915,0.2526,0.4321,64.8,3019,10.0,80.0,schwach
rel_score_btc,0.10908,0.25952,0.4203,65.4,3019,10.0,80.0,schwach
rel_score_avax,0.10351,0.25697,0.4028,63.9,3019,10.0,80.0,schwach
mom_link,0.07364,0.18735,0.3931,66.1,3100,8.0,64.0,schwach
mom_btc,0.06887,0.20297,0.3393,62.5,3088,10.0,80.0,schwach
mom_avax,0.06147,0.18565,0.3311,62.2,3125,10.0,80.0,schwach
rel_score_xrp,0.0786,0.24322,0.3232,60.8,3019,10.0,80.0,schwach
binance_premium,0.03746,0.13119,0.2855,40.0,45,2.0,16.0,unbrauchbar
pct_positive_30d,0.12534,0.45858,0.2733,62.2,889,10.0,80.0,unbrauchbar
rate_acceleration,0.04223,0.1834,0.2302,58.7,3122,10.0,80.0,unbrauchbar
rate_30d_std,0.07601,0.34027,0.2234,59.2,3051,10.0,80.0,unbrauchbar
mom_xrp,0.03972,0.18664,0.2128,57.4,3105,9.0,72.0,unbrauchbar
mom_sol,0.0369,0.18263,0.2021,56.7,3123,10.0,80.0,unbrauchbar
weekday_sin,0.05321,0.27598,0.1928,59.5,3125,5.0,40.0,unbrauchbar
eth_sol_spread_zscore,0.04162,0.23205,0.1794,57.1,3051,,,unbrauchbar
eth_sol_spread,0.03906,0.24085,0.1622,57.6,3125,10.0,80.0,unbrauchbar
mom_doge,0.0278,0.19368,0.1435,56.2,3069,10.0,80.0,unbrauchbar
hierarchy_normal,0.02287,0.21474,0.1065,51.3,2608,,,unbrauchbar
usdt_inflow_7d_pct,0.03039,0.32309,0.094,55.4,3125,10.0,80.0,unbrauchbar
rate_7d_mean,0.0215,0.30515,0.0705,46.8,3117,10.0,80.0,unbrauchbar
rate_7d_std,0.01546,0.32031,0.0483,51.3,3117,10.0,80.0,unbrauchbar
rate_volatility_7d,0.01546,0.32031,0.0483,51.3,3117,10.0,80.0,unbrauchbar
hour_cos,0.00539,0.15521,0.0348,48.9,3125,3.0,24.0,unbrauchbar
usdt_supply,0.00996,0.36678,0.0272,52.2,3125,10.0,80.0,unbrauchbar
rotation_direction,0.00246,0.18512,0.0133,46.9,3125,,,unbrauchbar
usdc_inflow_7d_pct,-0.00322,0.32731,-0.0098,50.2,3125,10.0,80.0,unbrauchbar
total_stablecoin_supply,-0.00561,0.348,-0.0161,47.6,3125,10.0,80.0,unbrauchbar
total_inflow_7d_pct,-0.00808,0.34095,-0.0237,50.0,3125,10.0,80.0,unbrauchbar
usdc_supply,-0.01111,0.3425,-0.0324,47.2,3125,10.0,80.0,unbrauchbar
rate_30d_mean,-0.0123,0.36974,-0.0333,47.3,3051,10.0,80.0,unbrauchbar
hour,-0.00539,0.15521,-0.0348,50.2,3125,3.0,24.0,unbrauchbar
weekday_cos,-0.00993,0.25219,-0.0394,47.5,3125,,,unbrauchbar
hour_sin,-0.01646,0.15611,-0.1054,44.6,3125,,,unbrauchbar
btc_falling_sol_rising,-0.02706,0.20278,-0.1334,44.2,2984,10.0,80.0,unbrauchbar
