window_start,window_current_start,fundingRate,rate_7d_mean,rate_7d_std,rate_30d_mean,rate_30d_std,rate_zscore,rate_zscore_7d,rate_momentum_1d,rate_momentum_3d,rate_momentum_7d,rate_acceleration,pct_positive_7d,pct_positive_30d,rate_volatility_7d,hour,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,binance_premium,tri_exchange_mean,tri_exchange_std,tri_exchange_outlier,max_exchange_spread,usdt_supply,usdt_inflow_7d_pct,usdc_supply,usdc_inflow_7d_pct,total_stablecoin_supply,total_inflow_7d_pct,pred_direction_matches_actual,rate_btc,zscore_btc,mom_btc,rate_eth,zscore_eth,mom_eth,rate_sol,zscore_sol,mom_sol,rate_doge,zscore_doge,mom_doge,rate_xrp,zscore_xrp,mom_xrp,rate_avax,zscore_avax,mom_avax,rate_link,zscore_link,mom_link,btc_eth_spread,btc_sol_spread,eth_sol_spread,btc_eth_spread_zscore,btc_sol_spread_zscore,eth_sol_spread_zscore,hierarchy_normal,hierarchy_inversion,all_above_zscore_1,sync_score,btc_falling_sol_rising,rotation_direction,portfolio_rate_weighted,rel_score_btc,rel_score_eth,rel_score_sol,rel_score_doge,rel_score_xrp,rel_score_avax,rel_score_link
2023-06-24 16:00:00.000,2023-07-24 16:00:00.000,0.39017,1.45888,4.33382,7.11241,9.08776,0.9856,0.59691,0.35184,0.35583,0.8972,0.80642,1.89979,0.43586,4.33382,0.0,0.02001,0.0,0.0,0.01819,0.00126,0.0,0.39017,0.0,0.0,0.0,8.79974,2.71312,8.1015,0.93697,7.16557,1.12232,0.12004,0.38133,0.5579,0.5576,0.25359,0.11716,0.09341,0.39017,0.9856,0.35184,0.26754,0.33838,0.4217,0.23457,3.52223,0.48863,0.94825,1.45031,0.49823,0.61679,0.88976,0.32823,0.19846,0.99333,0.48345,0.81366,1.31456,0.64142,0.15293,0.39102,0.0,0.17254,0.00933,0.04333,0.43974,0.36636,0.2062,0.77019,0.22994,1.37271,1.03514,0.78768
2023-07-04 16:00:00.000,2023-08-03 16:00:00.001,0.62311,0.71664,1.40715,0.34622,2.9697,0.71534,0.43139,0.33465,0.51482,0.23083,0.68613,1.89979,0.50086,1.40715,0.0,0.02001,0.0,0.0,0.01689,0.00252,0.0,0.62311,0.0,0.0,0.0,11.24158,4.52298,10.64126,0.73985,10.72852,0.37226,0.12004,0.52185,0.34895,1.20964,0.52875,0.26573,0.17969,0.62311,0.71534,0.33465,0.09565,0.28972,0.3392,0.31806,0.54418,0.23387,1.24575,0.73159,1.1326,0.38105,0.45077,0.16574,0.79083,0.90903,0.67431,0.66464,0.85796,0.46321,0.1591,0.32303,0.0,0.17254,0.00338,0.04186,1.10963,0.29029,0.41807,0.48451,0.55505,0.60169,0.64462,0.17719
2023-07-14 16:00:00.000,2023-08-13 16:00:00.000,0.78997,2.27682,7.14562,1.30168,1.90835,1.14418,0.21137,0.68805,0.80398,0.74112,0.76703,1.8256,,7.14562,0.0,0.02001,0.0,0.0,0.0167,0.01224,0.0,0.78997,0.0,0.0,0.0,10.49716,3.32043,5.49847,2.86761,10.67977,3.93002,0.05199,2.08988,1.38588,0.69988,0.73051,0.4212,0.20254,0.78997,1.14418,0.68805,1.11081,1.68023,0.65715,0.55344,1.38167,0.69383,1.11611,0.90011,0.74261,1.61021,1.17,0.42067,0.24879,0.71624,0.91175,0.57339,0.32587,0.31771,0.15293,0.38456,0.0,0.05199,0.05503,0.00474,0.3643,1.58748,0.59692,1.04336,0.84485,0.85563,1.00592,1.14389
2023-07-24 16:00:00.000,2023-08-23 16:00:00.000,3.28992,10.9855,8.77779,,9.10806,0.6148,0.35892,0.73539,1.28152,0.49605,0.84128,0.0,6.54446,8.77779,0.0,0.02001,0.0,0.0,0.01835,0.01576,0.0,3.28992,0.0,0.0,0.0,7.73017,2.70142,2.70811,3.07581,7.11314,4.68358,0.0,6.40059,3.04964,0.77333,2.05092,0.7502,0.07691,3.28992,0.6148,0.73539,0.45253,0.54106,0.63676,0.69064,1.0069,0.55483,0.49122,0.58328,0.24684,1.56959,0.74495,0.65381,0.32633,2.40667,0.70028,0.78927,0.78517,0.15971,0.00261,0.07478,0.0,0.0,0.02926,0.35373,3.18272,1.68853,0.77694,0.667,0.52235,0.90016,0.56502,0.73711
2023-08-03 16:00:00.001,2023-09-02 16:00:00.000,0.88403,5.17268,3.00541,,7.87389,0.2241,0.33052,0.34173,0.43251,0.4297,0.89883,0.0,2.78907,3.00541,0.0,0.02001,0.0,0.0,0.0134,0.01464,0.0,0.88403,0.0,0.0,0.0,5.38843,6.26763,3.15358,1.34752,3.47653,0.70416,0.0,1.93974,1.50507,1.0599,1.03241,0.65739,0.35547,0.88403,0.2241,0.34173,0.24452,0.58886,0.27422,0.30619,0.62879,0.33801,0.3071,0.7002,0.1098,0.44367,0.39376,0.47412,0.68968,0.38709,0.63287,0.67724,0.66629,0.11075,0.04188,0.00501,0.0,0.0,0.00682,0.36839,1.36428,0.38424,0.50843,0.41675,0.60442,0.87379,1.54098,0.38043
2023-08-13 16:00:00.000,2023-09-12 16:00:00.000,0.46744,1.84996,2.45709,,6.50907,0.83213,0.40779,0.31505,0.38187,0.53863,0.94208,0.0,0.0,2.45709,0.0,0.02001,0.0,0.0,0.01296,0.01485,0.0,0.46744,0.0,0.0,0.0,10.36193,3.20038,4.71066,1.53622,1.38808,1.21765,0.0,0.53862,1.05453,0.23665,1.17369,0.99639,0.33106,0.46744,0.83213,0.31505,0.35508,0.10346,0.43541,0.63865,0.36234,0.52246,1.07321,1.01796,0.93048,0.17528,0.44999,0.43067,0.62953,0.41022,0.66376,0.1308,0.78386,0.77513,0.10633,0.09372,0.0,0.0,0.0,0.12824,0.94941,0.32139,0.52429,0.61703,0.51842,0.65556,1.27021,0.44757
2023-08-23 16:00:00.000,2023-09-22 16:00:00.000,0.55847,2.80557,0.28187,5.34562,1.74944,0.90411,0.35358,0.40122,0.65151,0.20263,0.29838,0.0,0.0,0.28187,0.0,0.02001,0.0,0.0,0.01923,0.01009,0.0,0.55847,0.0,0.0,0.0,10.03493,2.27861,10.80789,3.224,4.35868,3.11364,0.0,0.09803,0.88435,0.0841,1.02476,1.05386,0.28088,0.55847,0.90411,0.40122,0.3863,0.22407,0.67835,0.5144,0.34553,0.4179,2.2855,0.69076,1.19622,0.24314,0.35213,0.38594,1.27074,0.41004,0.15719,0.1446,0.68062,0.66494,0.09372,0.11415,0.0,0.0,0.00612,0.00791,0.94271,0.90337,0.54827,1.01451,0.17268,0.34538,0.46931,0.40487
2023-09-02 16:00:00.000,2023-10-02 16:00:00.000,0.4765,4.12157,0.9926,4.38021,1.53701,0.37059,0.56905,0.62793,0.26955,0.39378,0.17491,0.0,0.0,0.9926,0.0,0.02001,0.0,0.0,0.01819,0.00126,0.0,0.4765,0.0,0.0,0.0,7.64691,3.23049,8.41449,0.46428,3.32961,4.86361,0.0,0.38617,1.36234,0.4497,2.27032,1.06031,0.71157,0.4765,0.37059,0.62793,0.36778,0.96949,0.39454,0.47859,0.25085,0.44629,1.13453,2.26804,1.09818,0.78171,0.74797,0.42749,1.19902,0.415,0.47347,0.60693,0.60337,0.63648,0.04188,0.17846,0.59016,0.0,0.01982,1.39815,0.63813,1.74065,0.62109,1.41941,0.71379,1.03705,0.59338,0.71611
2023-09-12 16:00:00.000,2023-10-12 16:00:00.000,1.57492,2.35534,1.83918,10.57907,1.43737,0.99784,0.49528,1.19402,0.97334,0.88418,0.49887,0.80335,0.0,1.83918,0.0,0.02001,0.0,0.0,0.01689,0.00252,0.0,1.57492,0.0,0.0,0.0,8.11319,4.4338,5.6651,0.53812,2.66327,1.48805,0.0,2.99339,1.42804,1.24272,2.32203,0.71064,1.19224,1.57492,0.99784,1.19402,1.46602,0.89901,0.16823,1.14046,0.74953,0.31382,0.91712,1.05028,0.41371,1.64548,0.56071,0.69428,1.71136,1.44564,0.91107,1.65028,1.47875,0.82944,0.21249,0.59741,0.72288,0.0,0.14327,3.18221,0.5929,1.74511,0.96745,0.63934,1.40638,1.08282,0.57487,0.49013
2023-09-22 16:00:00.000,2023-10-22 16:00:00.000,3.76474,4.02652,4.03612,6.02072,2.95905,2.15181,1.85148,0.62447,1.00475,0.99436,0.57258,2.09952,2.30468,4.03612,0.0,0.02001,0.0,0.0,0.0167,0.01224,0.0,3.76474,0.0,0.0,0.0,11.06268,12.47612,4.72787,1.32709,12.12705,0.94745,0.0,7.29946,2.54466,1.52773,7.38911,0.55219,2.77369,3.76474,2.15181,0.62447,2.52628,1.24125,0.36941,3.12236,2.1915,0.93504,3.17966,1.03258,1.0942,4.86008,1.92109,0.95239,3.2372,2.30001,1.69648,3.24709,0.98038,1.36426,0.09372,1.50007,0.8158,0.0,0.51069,4.48589,3.81095,1.66938,0.67175,1.05017,0.98269,0.8453,0.9445,0.75714
