fundingTime,target_next_rate,fundingRate,alpha_8h,alpha_regime,target_24h_avg,alpha_24h,alpha_ensemble,in_signal_alpha
2023-03-15 08:00:00+00:00,0.00022126,0.00024127,,,0.00014042000000000001,,,
2023-03-15 16:00:00.012000+00:00,0.0001,0.00022126,,,0.0001,,,
2023-03-16 00:00:00.004000+00:00,0.0001,0.0001,,,7.770333333333335e-05,,,
2023-03-16 08:00:00.018000+00:00,0.0001,0.0001,,,7.770333333333335e-05,,,
2023-03-16 16:00:00.005000+00:00,3.311e-05,0.0001,,,7.770333333333335e-05,,,
2023-03-17 00:00:00.017000+00:00,0.0001,3.311e-05,,,0.0001,,,
2023-03-17 08:00:00.010000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-17 16:00:00.003000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-18 00:00:00.012000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-18 08:00:00+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-18 16:00:00.016000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-19 00:00:00.013000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-19 08:00:00.024000+00:00,0.0001,0.0001,,,9.693666666666668e-05,,,
2023-03-19 16:00:00+00:00,0.0001,0.0001,,,9.693666666666668e-05,,,
2023-03-20 00:00:00.005000+00:00,9.081e-05,0.0001,,,9.066333333333336e-05,,,
2023-03-20 08:00:00.012000+00:00,0.0001,9.081e-05,,,6.457333333333334e-05,,,
2023-03-20 16:00:00.015000+00:00,8.118e-05,0.0001,,,3.221333333333334e-05,,,
2023-03-21 00:00:00.006000+00:00,1.254e-05,8.118e-05,,,6.046666666666667e-06,,,
2023-03-21 08:00:00.004000+00:00,2.92e-06,1.254e-05,,,1.8866666666666667e-06,,,
2023-03-21 16:00:00.003000+00:00,2.68e-06,2.92e-06,,,1.8693333333333333e-05,,,
2023-03-22 00:00:00+00:00,6e-08,2.68e-06,,,1.8626666666666666e-05,,,
2023-03-22 08:00:00.003000+00:00,5.334e-05,6e-08,,,1.4973333333333333e-05,,,
2023-03-22 16:00:00+00:00,2.48e-06,5.334e-05,,,3.052666666666667e-05,,,
2023-03-23 00:00:00.016000+00:00,-1.09e-05,2.48e-06,,,6.303333333333333e-05,,,
2023-03-23 08:00:00.001000+00:00,0.0001,-1.09e-05,,,0.0001,,,
2023-03-23 16:00:00.013000+00:00,0.0001,0.0001,,,0.0001,,,
2023-03-24 00:00:00.013000+00:00,0.0001,0.0001,,,6.563333333333333e-05,,,
2023-03-24 08:00:00.012000+00:00,0.0001,0.0001,,,3.371666666666667e-05,,,
2023-03-24 16:00:00.027000+00:00,-3.1e-06,0.0001,,,1.3566666666666667e-06,,,
2023-03-25 00:00:00.015000+00:00,4.25e-06,-3.1e-06,,,2.593333333333333e-06,,,
2023-03-25 08:00:00.011000+00:00,2.92e-06,4.25e-06,,,-9.909999999999998e-06,,,
2023-03-25 16:00:00.011000+00:00,6.1e-07,2.92e-06,,,1.2300000000000024e-06,,,
2023-03-26 00:00:00+00:00,-3.326e-05,6.1e-07,,,1.0710000000000002e-05,,,
2023-03-26 08:00:00.015000+00:00,3.634e-05,-3.326e-05,,,2.9826666666666663e-05,,,
2023-03-26 16:00:00+00:00,2.905e-05,3.634e-05,,,1.6393333333333334e-05,,,
2023-03-27 00:00:00.019000+00:00,2.409e-05,2.905e-05,,,1.95e-06,,,
2023-03-27 08:00:00.009000+00:00,-3.96e-06,2.409e-05,,,-2.3366666666666674e-06,,,
2023-03-27 16:00:00+00:00,-1.428e-05,-3.96e-06,,,2.4086666666666664e-05,,,
2023-03-28 00:00:00.007000+00:00,1.123e-05,-1.428e-05,,,4.909666666666667e-05,,,
2023-03-28 08:00:00+00:00,7.531e-05,1.123e-05,,,6.901333333333332e-05,,,
2023-03-28 16:00:00.013000+00:00,6.075e-05,7.531e-05,,,7.724333333333334e-05,,,
2023-03-29 00:00:00.010000+00:00,7.098e-05,6.075e-05,,,8.028333333333332e-05,,,
2023-03-29 08:00:00.006000+00:00,0.0001,7.098e-05,,,7.541666666666667e-05,,,
2023-03-29 16:00:00.014000+00:00,6.987e-05,0.0001,,,4.5826666666666666e-05,,,
2023-03-30 00:00:00+00:00,5.638e-05,6.987e-05,,,1.3496666666666667e-05,,,
2023-03-30 08:00:00+00:00,1.123e-05,5.638e-05,,,1.5896666666666666e-05,,,
2023-03-30 16:00:00.006000+00:00,-2.712e-05,1.123e-05,,,4.5486666666666666e-05,,,
2023-03-31 00:00:00.003000+00:00,6.358e-05,-2.712e-05,,,8.786e-05,,,
2023-03-31 08:00:00.006000+00:00,0.0001,6.358e-05,,,0.0001,,,
2023-03-31 16:00:00.011000+00:00,0.0001,0.0001,,,9.613333333333334e-05,,,
2023-04-01 00:00:00+00:00,0.0001,0.0001,,,7.789e-05,,,
2023-04-01 08:00:00+00:00,8.84e-05,0.0001,,,6.753333333333333e-05,,,
2023-04-01 16:00:00.018000+00:00,4.527e-05,8.84e-05,,,5.311333333333333e-05,,,
2023-04-02 00:00:00.013000+00:00,6.893e-05,4.527e-05,,,4.388666666666667e-05,,,
2023-04-02 08:00:00.014000+00:00,4.514e-05,6.893e-05,,,1.677666666666666e-05,,,
2023-04-02 16:00:00.001000+00:00,1.759e-05,4.514e-05,,,2.0689999999999993e-05,,,
2023-04-03 00:00:00+00:00,-1.24e-05,1.759e-05,,,-5.203333333333338e-06,,,
2023-04-03 08:00:00.013000+00:00,5.688e-05,-1.24e-05,,,-5.593333333333339e-06,,,
2023-04-03 16:00:00.011000+00:00,-6.009e-05,5.688e-05,,,-2.8806666666666666e-05,,,
2023-04-04 00:00:00.002000+00:00,-1.357e-05,-6.009e-05,,,4.2333333333333096e-07,,,
2023-04-04 08:00:00.017000+00:00,-1.276e-05,-1.357e-05,,,3.333666666666666e-05,,,
2023-04-04 16:00:00.008000+00:00,2.76e-05,-1.276e-05,,,5.514e-05,,,
2023-04-05 00:00:00+00:00,8.517e-05,2.76e-05,,,5.074666666666665e-05,,,
2023-04-05 08:00:00.016000+00:00,5.265e-05,8.517e-05,,,3.4349999999999995e-05,,,
2023-04-05 16:00:00.004000+00:00,1.442e-05,5.265e-05,,,6.883333333333328e-06,,,
2023-04-06 00:00:00+00:00,3.598e-05,1.442e-05,,,5.4233333333333286e-06,,,
2023-04-06 08:00:00.011000+00:00,-2.975e-05,3.598e-05,,,-1.1480000000000005e-05,,,
2023-04-06 16:00:00+00:00,1.004e-05,-2.975e-05,,,1.95333333333333e-06,,,
2023-04-07 00:00:00.006000+00:00,-1.473e-05,1.004e-05,,,-5.000000000000036e-07,,,
2023-04-07 08:00:00.005000+00:00,1.055e-05,-1.473e-05,,,5.96333333333333e-06,,,
2023-04-07 16:00:00+00:00,2.68e-06,1.055e-05,,,1.3086666666666663e-05,,,
2023-04-08 00:00:00+00:00,4.66e-06,2.68e-06,,,1.5359999999999995e-05,,,
2023-04-08 08:00:00.014000+00:00,3.192e-05,4.66e-06,,,1.0793333333333329e-05,,,
2023-04-08 16:00:00.018000+00:00,9.5e-06,3.192e-05,,,-2.6900000000000043e-06,,,
