fundingTime,fundingRate,rate_annualized_pct,rate_7d_mean,rate_7d_std,rate_30d_mean,rate_30d_std,rate_zscore,rate_zscore_7d,rate_momentum_1d,rate_momentum_3d,rate_momentum_7d,rate_acceleration,pct_positive_7d,pct_positive_30d,rate_volatility_7d,hour,weekday,hour_sin,hour_cos,weekday_sin,weekday_cos,fundingRate_bybit,cross_divergence,cross_divergence_abs,cross_divergence_zscore,binance_premium,okx_funding_rate,binance_okx_spread,binance_okx_zscore,tri_exchange_mean,tri_exchange_std,tri_exchange_outlier,max_exchange_spread,basis_abs,basis_pct,basis_7d_mean,basis_momentum,basis_zscore,usdt_supply,usdt_inflow_7d_pct,usdc_supply,usdc_inflow_7d_pct,total_stablecoin_supply,total_inflow_7d_pct,predicted_funding_proxy,pred_vs_actual_spread,pred_direction_matches_actual,btc_oi_dominance,alt_season_signal,dominance_change_24h,rate_btc,zscore_btc,mom_btc,rate_eth,zscore_eth,mom_eth,rate_sol,zscore_sol,mom_sol,rate_doge,zscore_doge,mom_doge,rate_xrp,zscore_xrp,mom_xrp,rate_avax,zscore_avax,mom_avax,rate_link,zscore_link,mom_link,btc_eth_spread,btc_sol_spread,eth_sol_spread,btc_eth_spread_zscore,btc_sol_spread_zscore,eth_sol_spread_zscore,hierarchy_normal,hierarchy_inversion,all_above_zscore_1,sync_score,btc_falling_sol_rising,rotation_direction,portfolio_rate_weighted,rel_score_btc,rel_score_eth,rel_score_sol,rel_score_doge,rel_score_xrp,rel_score_avax,rel_score_link,target_next_positive,target_next_3,target_next_rate,target_label_ordinal
2023-03-16 16:00:00.005000+00:00,0.0001,10.950000000000001,,,,,,,,,,,,,,16,3,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,,,,,0,,,,0.0001,0.0,0,0.0,,,,,,73400359945.0,2.3299828798435396,38107230325.0,-11.845238820812632,111507590270.0,-4.757627970484546,,,1,,,,0.0001,,,0.0001,,,-0.00017595,,,0.0001,,,0.0001,,,1.594e-05,,,0.0001,,,0.0,0.00027595,0.00027595,,,,0,1,0,0,0,,5.0201500000000004e-05,,,,,,,,0,0,3.311e-05,0
2023-03-17 00:00:00.017000+00:00,3.311e-05,3.6255450000000002,,,,,,,,,,,,,,0,4,0.0,1.0,-0.433883739117558,-0.9009688679024191,,,,,0,,,,3.311e-05,0.0,0,0.0,,,,,,74246550264.0,3.503845696887753,37201853852.0,-13.87902274463525,111448404116.0,-5.187588523873749,,,1,,,,3.311e-05,,,5.964e-05,,,6.18e-06,,,0.0001,,,-0.00010344,,,-2.09e-06,,,3.264e-05,,,-2.653e-05,2.693e-05,5.346e-05,,,,0,1,0,0,0,,2.38435e-05,,,,,,,,0,0,0.0001,0
2023-03-17 08:00:00.010000+00:00,0.0001,10.950000000000001,,,,,,,,,,,,,,8,4,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,,,,,0,,,,0.0001,0.0,0,0.0,,,,,,74246550264.0,3.503845696887753,37201853852.0,-13.87902274463525,111448404116.0,-5.187588523873749,,,1,,,,0.0001,,,5.941e-05,,,-3.828e-05,,,0.0001,,,-3.446e-05,,,-4.976e-05,,,0.0001,,,4.059e-05,0.00013828,9.769e-05,,,,0,1,0,0,0,,4.2718e-05,,,,,,,,0,0,0.0001,0
2023-03-17 16:00:00.003000+00:00,0.0001,10.950000000000001,,,,,,,0.0,,,,,,,16,4,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,,,,,0,,,,0.0001,0.0,0,0.0,,,,,,74246550264.0,3.503845696887753,37201853852.0,-13.87902274463525,111448404116.0,-5.187588523873749,,,1,,,,0.0001,,0.0,0.0001,,0.0,-5.87e-05,,0.00011725,0.0001,,0.0,0.0001,,0.0,0.0001,,8.406e-05,0.0001,,0.0,0.0,0.0001587,0.0001587,,,,0,1,0,0,0,1.0,7.6195e-05,,,,,,,,0,0,0.0001,0
2023-03-18 00:00:00.012000+00:00,0.0001,10.950000000000001,,,,,,,6.689e-05,,,,,,,0,5,0.0,1.0,-0.9749279121818236,-0.2225209339563146,,,,,0,,,,0.0001,0.0,0,0.0,,,,,,75163840900.0,4.685808097321775,36625309641.0,-15.17215183677999,111789150541.0,-5.243171869729108,,,1,,,,0.0001,,6.689e-05,0.0001,,4.0360000000000007e-05,0.0001,,9.382e-05,0.0001,,0.0,0.0001,,0.00020344,0.0001,,0.00010209000000000001,0.0001,,6.736e-05,0.0,0.0,0.0,,,,0,0,0,0,0,1.0,0.0001,,,,,,,,0,0,0.0001,0
2023-03-18 08:00:00+00:00,0.0001,10.950000000000001,,,,,,,0.0,,,,,,,8,5,0.8660254037844388,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,,,,,0,,,,0.0001,0.0,0,0.0,,,,,,75163840900.0,4.685808097321775,36625309641.0,-15.17215183677999,111789150541.0,-5.243171869729108,,,1,,,,0.0001,,0.0,0.0001,,4.059e-05,0.00027581,,0.00031409,0.0001,,0.0,0.0001,,0.00013446,0.0001,,0.00014976,0.0001,,0.0,0.0,-0.00017580999999999999,-0.00017580999999999999,,,,0,0,0,1,0,1.0,0.0001263715,,,,,,,,0,0,0.0001,0
2023-03-18 16:00:00.016000+00:00,0.0001,10.950000000000001,,,,,,,0.0,,,0.0,,,,16,5,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,,,,,0,,,,0.0001,0.0,0,0.0,,,,,,75163840900.0,4.685808097321775,36625309641.0,-15.17215183677999,111789150541.0,-5.243171869729108,,,1,,,,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0001587,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,1.0,0.0001,,,,,,,,0,0,0.0001,0
2023-03-19 00:00:00.013000+00:00,0.0001,10.950000000000001,,,,,,,0.0,,,-6.689e-05,,,,0,6,0.0,1.0,-0.7818314824680299,0.6234898018587334,,,,,0,,,,0.0001,0.0,0,0.0,,,,,,76173667892.0,5.686453763481025,35900827555.0,-14.92747556910965,112074495447.0,-4.620510902814312,,,1,,,,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0.0001,,,,,,,,0,0,0.0001,0
2023-03-19 08:00:00.024000+00:00,0.0001,10.950000000000001,,,,,,,0.0,,,0.0,,,,8,6,0.8660254037844388,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,,,,,0,,,,0.0001,0.0,0,0.0,,,,,,76173667892.0,5.686453763481025,35900827555.0,-14.92747556910965,112074495447.0,-4.620510902814312,,,1,,,,0.0001,,0.0,0.0001,,0.0,0.0001,,-0.00017580999999999999,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,-1.0,0.0001,,,,,,,,0,0,0.0001,0
2023-03-19 16:00:00+00:00,0.0001,10.950000000000001,,,,,,,0.0,0.0,,0.0,,,,16,6,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,,,,,0,,,,0.0001,0.0,0,0.0,,,,,,76173667892.0,5.686453763481025,35900827555.0,-14.92747556910965,112074495447.0,-4.620510902814312,,,1,,,,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0001,,0.0,0.0,0.0,0.0,,,,0,0,0,0,0,0.0,0.0001,,,,,,,,0,0,0.0001,0
